Event,Timestamp,Ack Number,Sequence
Triple Duplicate,2020-04-21 16:34:00.492279,1,1
Triple Duplicate,2020-04-21 16:34:00.737794,1,2958
Triple Duplicate,2020-04-21 16:34:00.737803,1,7338
Triple Duplicate,2020-04-21 16:34:00.847034,1,14638
Triple Duplicate,2020-04-21 16:34:00.847035,1,19018
Triple Duplicate,2020-04-21 16:34:00.847037,1,24858
Triple Duplicate,2020-04-21 16:34:00.979254,1,29238
Triple Duplicate,2020-04-21 16:34:00.979257,1,33618
Triple Duplicate,2020-04-21 16:34:00.979259,1,36538
Triple Duplicate,2020-04-21 16:34:00.979263,1,42378
Triple Duplicate,2020-04-21 16:34:01.101339,1,46758
Triple Duplicate,2020-04-21 16:34:01.101342,1,51138
Triple Duplicate,2020-04-21 16:34:01.101344,1,55518
Triple Duplicate,2020-04-21 16:34:01.101347,1,59898
Triple Duplicate,2020-04-21 16:34:01.223315,1,67198
Triple Duplicate,2020-04-21 16:34:01.223319,1,71578
Triple Duplicate,2020-04-21 16:34:01.223322,1,75958
Triple Duplicate,2020-04-21 16:34:01.223325,1,80338
Triple Duplicate,2020-04-21 16:34:01.223462,1,84718
Triple Duplicate,2020-04-21 16:34:01.345360,1,90558
Triple Duplicate,2020-04-21 16:34:01.346895,1,96398
Triple Duplicate,2020-04-21 16:34:01.346896,1,100778
Triple Duplicate,2020-04-21 16:34:01.346897,1,105158
Triple Duplicate,2020-04-21 16:34:01.347871,1,112458
Triple Duplicate,2020-04-21 16:34:01.347872,1,116838
Triple Duplicate,2020-04-21 16:34:01.459965,1,124138
Triple Duplicate,2020-04-21 16:34:01.459968,1,128518
Triple Duplicate,2020-04-21 16:34:01.461640,1,132898
Triple Duplicate,2020-04-21 16:34:01.461643,1,137278
Triple Duplicate,2020-04-21 16:34:01.461646,1,141658
Triple Duplicate,2020-04-21 16:34:01.461649,1,146038
Triple Duplicate,2020-04-21 16:34:01.463045,1,151878
Triple Duplicate,2020-04-21 16:34:01.463047,1,156258
Triple Duplicate,2020-04-21 16:34:01.463675,1,163558
Triple Duplicate,2020-04-21 16:34:01.586061,1,169398
Triple Duplicate,2020-04-21 16:34:01.586063,1,172318
Triple Duplicate,2020-04-21 16:34:01.587528,1,181078
Triple Duplicate,2020-04-21 16:34:01.587530,1,185458
Triple Duplicate,2020-04-21 16:34:01.587532,1,189838
Triple Duplicate,2020-04-21 16:34:01.587534,1,194218
Triple Duplicate,2020-04-21 16:34:01.587753,1,201518
Triple Duplicate,2020-04-21 16:34:01.587755,1,205898
Triple Duplicate,2020-04-21 16:34:01.587758,1,210278
Triple Duplicate,2020-04-21 16:34:01.589837,1,217578
Triple Duplicate,2020-04-21 16:34:01.589840,1,221958
Triple Duplicate,2020-04-21 16:34:01.711021,1,226338
Triple Duplicate,2020-04-21 16:34:01.711024,1,230718
Triple Duplicate,2020-04-21 16:34:01.711028,1,235098
Triple Duplicate,2020-04-21 16:34:01.714610,1,242398
Triple Duplicate,2020-04-21 16:34:01.714613,1,246778
Triple Duplicate,2020-04-21 16:34:01.714616,1,251158
Triple Duplicate,2020-04-21 16:34:01.714619,1,255538
Triple Duplicate,2020-04-21 16:34:01.714622,1,259918
Triple Duplicate,2020-04-21 16:34:01.715523,1,265758
Triple Duplicate,2020-04-21 16:34:01.716032,1,271598
Triple Duplicate,2020-04-21 16:34:01.716035,1,275978
Triple Duplicate,2020-04-21 16:34:01.716038,1,280358
Triple Duplicate,2020-04-21 16:34:01.719069,1,287658
Triple Duplicate,2020-04-21 16:34:01.719071,1,292038
Triple Duplicate,2020-04-21 16:34:01.824190,1,297878
Triple Duplicate,2020-04-21 16:34:01.824192,1,306638
Triple Duplicate,2020-04-21 16:34:01.824193,1,311018
Triple Duplicate,2020-04-21 16:34:01.824903,1,315398
Triple Duplicate,2020-04-21 16:34:01.827588,1,321238
Triple Duplicate,2020-04-21 16:34:01.827589,1,328538
Triple Duplicate,2020-04-21 16:34:01.827590,1,331458
Triple Duplicate,2020-04-21 16:34:01.827591,1,334378
Triple Duplicate,2020-04-21 16:34:01.827592,1,338758
Triple Duplicate,2020-04-21 16:34:01.827593,1,343138
Triple Duplicate,2020-04-21 16:34:01.828261,1,347518
Triple Duplicate,2020-04-21 16:34:01.828262,1,350438
Triple Duplicate,2020-04-21 16:34:01.831912,1,356278
Triple Duplicate,2020-04-21 16:34:01.831913,1,360658
Triple Duplicate,2020-04-21 16:34:01.831914,1,365038
Triple Duplicate,2020-04-21 16:34:01.831915,1,369418
Triple Duplicate,2020-04-21 16:34:01.832208,1,375258
Triple Duplicate,2020-04-21 16:34:01.832210,1,379638
Triple Duplicate,2020-04-21 16:34:01.832212,1,384018
Triple Duplicate,2020-04-21 16:34:01.938337,1,389858
Triple Duplicate,2020-04-21 16:34:01.938340,1,394238
Triple Duplicate,2020-04-21 16:34:01.938342,1,398618
Triple Duplicate,2020-04-21 16:34:01.938346,1,402998
Triple Duplicate,2020-04-21 16:34:01.939575,1,408838
Triple Duplicate,2020-04-21 16:34:01.939579,1,413218
Triple Duplicate,2020-04-21 16:34:01.942060,1,417598
Triple Duplicate,2020-04-21 16:34:01.942063,1,421978
Triple Duplicate,2020-04-21 16:34:01.942066,1,426358
Triple Duplicate,2020-04-21 16:34:01.942068,1,430738
Triple Duplicate,2020-04-21 16:34:01.942071,1,435118
Triple Duplicate,2020-04-21 16:34:01.942074,1,439498
Triple Duplicate,2020-04-21 16:34:01.943413,1,445338
