Timestamp,Source IP,Destination IP,Source Port,Destination Port,Sequence,Ack Number,Window,Flags,Congestion Event
2007-06-28 21:05:31.883550,192.168.1.109,128.119.245.12,2538,80,0,0,16384,0x0002,Retransmission
2007-06-28 21:05:31.900208,128.119.245.12,192.168.1.109,80,2538,0,1,5840,0x0012,Retransmission
2007-06-28 21:05:31.900481,192.168.1.109,128.119.245.12,2538,80,1,1,17520,0x0010,Retransmission
2007-06-28 21:05:31.900710,192.168.1.109,128.119.245.12,2538,80,1,1,17520,0x0018,Retransmission
2007-06-28 21:05:31.919355,128.119.245.12,192.168.1.109,80,2538,1,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.919628,128.119.245.12,192.168.1.109,80,2538,1,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.921286,128.119.245.12,192.168.1.109,80,2538,1,436,6432,0x0018,Retransmission
2007-06-28 21:05:31.922771,128.119.245.12,192.168.1.109,80,2538,314,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.923266,128.119.245.12,192.168.1.109,80,2538,314,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.923847,128.119.245.12,192.168.1.109,80,2538,314,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.924077,128.119.245.12,192.168.1.109,80,2538,314,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.924285,192.168.1.109,128.119.245.12,2538,80,436,1774,17520,0x0010,Retransmission
2007-06-28 21:05:31.924538,192.168.1.109,128.119.245.12,2538,80,436,1774,17520,0x0010,Retransmission
2007-06-28 21:05:31.925274,128.119.245.12,192.168.1.109,80,2538,314,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.946076,128.119.245.12,192.168.1.109,80,2538,1774,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.946901,128.119.245.12,192.168.1.109,80,2538,1774,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.947157,128.119.245.12,192.168.1.109,80,2538,3234,436,6432,0x0010,
2007-06-28 21:05:31.948147,128.119.245.12,192.168.1.109,80,2538,4694,436,6432,0x0010,
2007-06-28 21:05:31.948267,192.168.1.109,128.119.245.12,2538,80,436,4694,17520,0x0010,Retransmission
2007-06-28 21:05:31.966940,199.93.245.12,192.168.1.109,80,2538,1,1,6432,0x0010,Retransmission
2007-06-28 21:05:31.968018,128.119.245.12,192.168.1.109,80,2538,6154,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.969100,128.119.245.12,192.168.1.109,80,2538,6154,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.969326,128.119.245.12,192.168.1.109,80,2538,7614,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.969426,192.168.1.109,128.119.245.12,2538,80,436,7614,17520,0x0010,Retransmission
2007-06-28 21:05:31.969780,128.119.245.12,192.168.1.109,80,2538,7614,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.970266,128.119.245.12,192.168.1.109,80,2538,7614,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.970895,128.119.245.12,192.168.1.109,80,2538,7614,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.971422,128.119.245.12,192.168.1.109,80,2538,9074,436,6432,0x0018,
2007-06-28 21:05:31.971635,192.168.1.109,128.119.245.12,2538,80,436,10534,17520,0x0010,Retransmission
2007-06-28 21:05:31.988395,128.119.245.12,192.168.1.109,80,2538,10534,436,6432,0x0018,Retransmission
2007-06-28 21:05:31.988894,128.119.245.12,192.168.1.109,80,2538,10534,436,6432,0x0018,Retransmission
2007-06-28 21:05:31.989151,128.119.245.12,192.168.1.109,80,2538,10534,436,6432,0x0018,Retransmission
2007-06-28 21:05:31.990018,128.119.245.12,192.168.1.109,80,2538,11994,436,6432,0x0010,Retransmission
2007-06-28 21:05:31.990993,128.119.245.12,192.168.1.109,80,2538,11994,436,6432,0x0010,Retransmission
