Timestamp,Event,cwnd,sstresh
2020-04-21 16:34:00.386799,,2,64
2020-04-21 16:34:00.492153,,4,64
2020-04-21 16:34:00.492248,,8,64
2020-04-21 16:34:00.492279,Triple Duplicate,7,4
2020-04-21 16:34:00.655381,,8,4
2020-04-21 16:34:00.737793,,9,4
2020-04-21 16:34:00.737793,,10,4
2020-04-21 16:34:00.737794,Triple Duplicate,8,5
2020-04-21 16:34:00.737794,,9,5
2020-04-21 16:34:00.737802,,10,5
2020-04-21 16:34:00.737803,Triple Duplicate,8,5
2020-04-21 16:34:00.737803,,9,5
2020-04-21 16:34:00.737803,,10,5
2020-04-21 16:34:00.846971,Retransmission,1,5
2020-04-21 16:34:00.847033,,2,5
2020-04-21 16:34:00.847033,,4,5
2020-04-21 16:34:00.847034,Triple Duplicate,5,2
2020-04-21 16:34:00.847034,,6,2
2020-04-21 16:34:00.847035,,7,2
2020-04-21 16:34:00.847035,Triple Duplicate,6,3
2020-04-21 16:34:00.847036,,7,3
2020-04-21 16:34:00.847036,,8,3
2020-04-21 16:34:00.847037,,9,3
2020-04-21 16:34:00.847037,Triple Duplicate,7,4
2020-04-21 16:34:00.979090,Retransmission,1,3
2020-04-21 16:34:00.979250,,2,3
2020-04-21 16:34:00.979253,,4,3
2020-04-21 16:34:00.979254,Triple Duplicate,5,2
2020-04-21 16:34:00.979254,,6,2
2020-04-21 16:34:00.979256,,7,2
2020-04-21 16:34:00.979257,Triple Duplicate,6,3
2020-04-21 16:34:00.979258,,7,3
2020-04-21 16:34:00.979259,Triple Duplicate,6,3
2020-04-21 16:34:00.979259,,7,3
2020-04-21 16:34:00.979261,,8,3
2020-04-21 16:34:00.979262,,9,3
2020-04-21 16:34:00.979263,Triple Duplicate,7,4
2020-04-21 16:34:01.101178,Retransmission,1,3
2020-04-21 16:34:01.101337,,2,3
2020-04-21 16:34:01.101339,,4,3
2020-04-21 16:34:01.101339,Triple Duplicate,5,2
2020-04-21 16:34:01.101340,,6,2
2020-04-21 16:34:01.101341,,7,2
2020-04-21 16:34:01.101342,Triple Duplicate,6,3
2020-04-21 16:34:01.101342,,7,3
2020-04-21 16:34:01.101343,,8,3
2020-04-21 16:34:01.101344,Triple Duplicate,7,4
2020-04-21 16:34:01.101345,,8,4
2020-04-21 16:34:01.101345,,9,4
2020-04-21 16:34:01.101347,Triple Duplicate,7,4
2020-04-21 16:34:01.101348,,8,4
2020-04-21 16:34:01.101349,,9,4
2020-04-21 16:34:01.223173,Retransmission,1,4
2020-04-21 16:34:01.223312,,2,4
2020-04-21 16:34:01.223314,,4,4
2020-04-21 16:34:01.223315,Triple Duplicate,5,2
2020-04-21 16:34:01.223316,,6,2
2020-04-21 16:34:01.223317,,7,2
2020-04-21 16:34:01.223319,Triple Duplicate,6,3
2020-04-21 16:34:01.223320,,7,3
2020-04-21 16:34:01.223321,,8,3
2020-04-21 16:34:01.223322,Triple Duplicate,7,4
2020-04-21 16:34:01.223323,,8,4
2020-04-21 16:34:01.223325,,9,4
2020-04-21 16:34:01.223325,Triple Duplicate,7,4
2020-04-21 16:34:01.223460,,8,4
2020-04-21 16:34:01.223461,,9,4
2020-04-21 16:34:01.223462,Triple Duplicate,7,4
2020-04-21 16:34:01.223463,,8,4
2020-04-21 16:34:01.345303,Retransmission,1,4
2020-04-21 16:34:01.345360,,2,4
2020-04-21 16:34:01.345360,,4,4
2020-04-21 16:34:01.345360,Triple Duplicate,5,2
2020-04-21 16:34:01.345361,,6,2
2020-04-21 16:34:01.346853,Retransmission,1,3
2020-04-21 16:34:01.346895,,2,3
2020-04-21 16:34:01.346895,,4,3
2020-04-21 16:34:01.346895,Triple Duplicate,5,2
2020-04-21 16:34:01.346896,,6,2
2020-04-21 16:34:01.346896,,7,2
2020-04-21 16:34:01.346896,Triple Duplicate,6,3
2020-04-21 16:34:01.346897,,7,3
2020-04-21 16:34:01.346897,,8,3
2020-04-21 16:34:01.346897,Triple Duplicate,7,4
2020-04-21 16:34:01.346898,,8,4
2020-04-21 16:34:01.346898,,9,4
