Timestamp,Congestion Event,cwnd,sshthresh
2007-06-28 21:05:31.883550,Retransmission,1,1
2007-06-28 21:05:31.900208,Retransmission,1,1
2007-06-28 21:05:31.900481,Retransmission,1,1
2007-06-28 21:05:31.900710,Retransmission,1,1
2007-06-28 21:05:31.919355,Retransmission,1,1
2007-06-28 21:05:31.919628,Retransmission,1,1
2007-06-28 21:05:31.921286,Retransmission,1,1
2007-06-28 21:05:31.922771,Triple Duplicate,1,1
2007-06-28 21:05:31.923266,Triple Duplicate,1,1
2007-06-28 21:05:31.923847,Triple Duplicate,1,1
2007-06-28 21:05:31.924077,Triple Duplicate,1,1
2007-06-28 21:05:31.924285,Retransmission,1,1
2007-06-28 21:05:31.924538,Retransmission,1,1
2007-06-28 21:05:31.925274,Triple Duplicate,1,1
2007-06-28 21:05:31.946076,Triple Duplicate,1,1
2007-06-28 21:05:31.946901,Triple Duplicate,1,1
2007-06-28 21:05:31.947157,,2,1
2007-06-28 21:05:31.948147,,3,1
2007-06-28 21:05:31.948267,Retransmission,1,1
2007-06-28 21:05:31.966940,Retransmission,1,1
2007-06-28 21:05:31.968018,Retransmission,1,1
2007-06-28 21:05:31.969100,Retransmission,1,1
2007-06-28 21:05:31.969326,Triple Duplicate,1,1
2007-06-28 21:05:31.969426,Retransmission,1,1
2007-06-28 21:05:31.969780,Triple Duplicate,1,1
2007-06-28 21:05:31.970266,Triple Duplicate,1,1
2007-06-28 21:05:31.970895,Triple Duplicate,1,1
2007-06-28 21:05:31.971422,,2,1
2007-06-28 21:05:31.971635,Retransmission,1,1
2007-06-28 21:05:31.988395,Triple Duplicate,1,1
2007-06-28 21:05:31.988894,Triple Duplicate,1,1
2007-06-28 21:05:31.989151,Triple Duplicate,1,1
2007-06-28 21:05:31.990018,Triple Duplicate,1,1
2007-06-28 21:05:31.990993,Triple Duplicate,1,1
2007-06-28 21:05:31.991230,Retransmission,1,1
2007-06-28 21:05:31.991455,Retransmission,1,1
2007-06-28 21:05:31.993020,Retransmission,1,1
2007-06-28 21:05:31.994273,Retransmission,1,1
2007-06-28 21:05:31.994639,Triple Duplicate,1,1
2007-06-28 21:05:31.995145,Triple Duplicate,1,1
2007-06-28 21:05:31.995894,Triple Duplicate,1,1
2007-06-28 21:05:31.996605,Triple Duplicate,1,1
2007-06-28 21:05:31.996817,Retransmission,1,1
2007-06-28 21:05:31.998398,Retransmission,1,1
2007-06-28 21:05:31.998955,Retransmission,1,1
2007-06-28 21:05:32.000265,Triple Duplicate,1,1
2007-06-28 21:05:32.000643,Triple Duplicate,1,1
2007-06-28 21:05:32.001595,Triple Duplicate,1,1
2007-06-28 21:05:32.001811,Retransmission,1,1
2007-06-28 21:05:32.010245,,2,1
2007-06-28 21:05:32.011559,,3,1
2007-06-28 21:05:32.011776,Retransmission,1,1
2007-06-28 21:05:32.012721,,2,1
2007-06-28 21:05:32.016050,,3,1
2007-06-28 21:05:32.016263,Retransmission,1,1
2007-06-28 21:05:32.017647,,2,1
2007-06-28 21:05:32.019018,,3,1
2007-06-28 21:05:32.019230,Retransmission,1,1
2007-06-28 21:05:32.021662,,2,1
2007-06-28 21:05:32.023486,,3,1
2007-06-28 21:05:32.023701,Retransmission,1,1
2007-06-28 21:05:32.024264,Retransmission,1,1
2007-06-28 21:05:32.025020,,2,1
2007-06-28 21:05:32.025139,Retransmission,1,1
2007-06-28 21:05:32.030139,,2,1
2007-06-28 21:05:32.030363,Retransmission,1,1
2007-06-28 21:05:32.030528,Retransmission,1,1
2007-06-28 21:05:32.031016,Retransmission,1,1
2007-06-28 21:05:32.031658,,2,1
2007-06-28 21:05:32.032842,,3,1
2007-06-28 21:05:32.033054,Retransmission,1,1
2007-06-28 21:05:32.037646,,2,1
2007-06-28 21:05:32.040338,,3,1
2007-06-28 21:05:32.040556,,4,1
2007-06-28 21:05:32.040774,Retransmission,1,2
2007-06-28 21:05:32.041665,,2,2
2007-06-28 21:05:32.041880,Retransmission,1,1
2007-06-28 21:05:32.042903,Triple Duplicate,1,1
2007-06-28 21:05:32.043517,Triple Duplicate,1,1
2007-06-28 21:05:32.044893,Triple Duplicate,1,1
2007-06-28 21:05:32.045264,Triple Duplicate,1,1
2007-06-28 21:05:32.046127,Triple Duplicate,1,1
2007-06-28 21:05:32.046340,Retransmission,1,1
2007-06-28 21:05:32.047055,,2,1
2007-06-28 21:05:32.048397,Triple Duplicate,1,1
2007-06-28 21:05:32.048644,Triple Duplicate,1,1
2007-06-28 21:05:32.049422,Triple Duplicate,1,1
2007-06-28 21:05:32.049648,Retransmission,1,1
2007-06-28 21:05:32.050265,Triple Duplicate,1,1
2007-06-28 21:05:32.050644,Triple Duplicate,1,1
2007-06-28 21:05:32.051018,Triple Duplicate,1,1
2007-06-28 21:05:32.051891,Triple Duplicate,1,1
2007-06-28 21:05:32.052334,,2,1
2007-06-28 21:05:32.052463,Retransmission,1,1
2007-06-28 21:05:32.058657,,2,1
2007-06-28 21:05:32.060144,Triple Duplicate,1,1
2007-06-28 21:05:32.060642,Triple Duplicate,1,1
2007-06-28 21:05:32.061434,Triple Duplicate,1,1
2007-06-28 21:05:32.061657,Retransmission,1,1
2007-06-28 21:05:32.063019,,2,1
2007-06-28 21:05:32.064326,,3,1
2007-06-28 21:05:32.064549,Retransmission,1,1
2007-06-28 21:05:32.065643,,2,1
2007-06-28 21:05:32.067223,,3,1
2007-06-28 21:05:32.067435,Retransmission,1,1
2007-06-28 21:05:32.068399,,2,1
2007-06-28 21:05:32.069791,,3,1
2007-06-28 21:05:32.070029,Retransmission,1,1
2007-06-28 21:05:32.071524,,2,1
2007-06-28 21:05:32.073580,Retransmission,1,1
2007-06-28 21:05:32.074140,Retransmission,1,1
2007-06-28 21:05:32.074244,Retransmission,1,1
2007-06-28 21:05:32.074901,Retransmission,1,1
2007-06-28 21:05:32.075774,Retransmission,1,1
2007-06-28 21:05:32.076335,,2,1
2007-06-28 21:05:32.077794,,3,1
2007-06-28 21:05:32.078005,Retransmission,1,1
2007-06-28 21:05:32.083306,Retransmission,1,1
2007-06-28 21:05:32.083896,Retransmission,1,1
2007-06-28 21:05:32.084705,,2,1
2007-06-28 21:05:32.084823,Retransmission,1,1
2007-06-28 21:05:32.086562,,2,1
2007-06-28 21:05:32.087947,,3,1
2007-06-28 21:05:32.088160,Retransmission,1,1
2007-06-28 21:05:32.092196,,2,1
2007-06-28 21:05:32.093306,Triple Duplicate,1,1
2007-06-28 21:05:32.093639,Triple Duplicate,1,1
2007-06-28 21:05:32.093757,Retransmission,1,1
2007-06-28 21:05:32.095395,,2,1
2007-06-28 21:05:32.096692,,3,1
2007-06-28 21:05:32.096904,Retransmission,1,1
2007-06-28 21:05:32.100165,,2,1
2007-06-28 21:05:32.101568,,3,1
2007-06-28 21:05:32.101800,Retransmission,1,1
2007-06-28 21:05:32.102084,,2,1
2007-06-28 21:05:32.102812,,3,1
2007-06-28 21:05:32.105573,,4,1
2007-06-28 21:05:32.105792,Retransmission,1,2
2007-06-28 21:05:32.106902,,2,2
2007-06-28 21:05:32.108251,,3,2
2007-06-28 21:05:32.108463,Retransmission,1,1
2007-06-28 21:05:32.110291,,2,1
2007-06-28 21:05:32.111624,,3,1
2007-06-28 21:05:32.111840,Retransmission,1,1
2007-06-28 21:05:32.114271,,2,1
2007-06-28 21:05:32.115366,,3,1
2007-06-28 21:05:32.115581,Retransmission,1,1
