Timestamp,Source IP,Destination IP,Source Port,Destination Port,Sequence,Ack Number,Window,Flags
2020-04-21 16:34:00.386799,192.168.10.184,192.168.10.196,52343,5201,0,0,65535,0x0002
2020-04-21 16:34:00.492153,192.168.10.196,192.168.10.184,5201,52343,0,1,65535,0x0012
2020-04-21 16:34:00.492248,192.168.10.184,192.168.10.196,52343,5201,1,1,4096,0x0010
2020-04-21 16:34:00.492279,192.168.10.184,192.168.10.196,52343,5201,1,1,4096,0x0018
2020-04-21 16:34:00.655381,192.168.10.196,192.168.10.184,5201,52343,1,38,53238,0x0010
2020-04-21 16:34:00.737793,192.168.10.184,192.168.10.196,52343,5201,38,1,4096,0x0010
2020-04-21 16:34:00.737793,192.168.10.184,192.168.10.196,52343,5201,1498,1,4096,0x0010
2020-04-21 16:34:00.737794,192.168.10.184,192.168.10.196,52343,5201,2958,1,4096,0x0010
2020-04-21 16:34:00.737794,192.168.10.184,192.168.10.196,52343,5201,4418,1,4096,0x0010
2020-04-21 16:34:00.737802,192.168.10.184,192.168.10.196,52343,5201,5878,1,4096,0x0010
2020-04-21 16:34:00.737803,192.168.10.184,192.168.10.196,52343,5201,7338,1,4096,0x0010
2020-04-21 16:34:00.737803,192.168.10.184,192.168.10.196,52343,5201,8798,1,4096,0x0010
2020-04-21 16:34:00.737803,192.168.10.184,192.168.10.196,52343,5201,10258,1,4096,0x0010
2020-04-21 16:34:00.846971,192.168.10.196,192.168.10.184,5201,52343,1,11718,53248,0x0010
2020-04-21 16:34:00.847033,192.168.10.184,192.168.10.196,52343,5201,11718,1,4096,0x0010
2020-04-21 16:34:00.847033,192.168.10.184,192.168.10.196,52343,5201,13178,1,4096,0x0010
2020-04-21 16:34:00.847034,192.168.10.184,192.168.10.196,52343,5201,14638,1,4096,0x0010
2020-04-21 16:34:00.847034,192.168.10.184,192.168.10.196,52343,5201,16098,1,4096,0x0010
2020-04-21 16:34:00.847035,192.168.10.184,192.168.10.196,52343,5201,17558,1,4096,0x0010
2020-04-21 16:34:00.847035,192.168.10.184,192.168.10.196,52343,5201,19018,1,4096,0x0010
2020-04-21 16:34:00.847036,192.168.10.184,192.168.10.196,52343,5201,20478,1,4096,0x0010
2020-04-21 16:34:00.847036,192.168.10.184,192.168.10.196,52343,5201,21938,1,4096,0x0010
2020-04-21 16:34:00.847037,192.168.10.184,192.168.10.196,52343,5201,23398,1,4096,0x0010
2020-04-21 16:34:00.847037,192.168.10.184,192.168.10.196,52343,5201,24858,1,4096,0x0010
2020-04-21 16:34:00.979090,192.168.10.196,192.168.10.184,5201,52343,1,26318,53248,0x0010
2020-04-21 16:34:00.979250,192.168.10.184,192.168.10.196,52343,5201,26318,1,4096,0x0010
2020-04-21 16:34:00.979253,192.168.10.184,192.168.10.196,52343,5201,27778,1,4096,0x0010
2020-04-21 16:34:00.979254,192.168.10.184,192.168.10.196,52343,5201,29238,1,4096,0x0010
2020-04-21 16:34:00.979254,192.168.10.184,192.168.10.196,52343,5201,30698,1,4096,0x0010
2020-04-21 16:34:00.979256,192.168.10.184,192.168.10.196,52343,5201,32158,1,4096,0x0010
2020-04-21 16:34:00.979257,192.168.10.184,192.168.10.196,52343,5201,33618,1,4096,0x0010
2020-04-21 16:34:00.979258,192.168.10.184,192.168.10.196,52343,5201,35078,1,4096,0x0010
2020-04-21 16:34:00.979259,192.168.10.184,192.168.10.196,52343,5201,36538,1,4096,0x0010
2020-04-21 16:34:00.979259,192.168.10.184,192.168.10.196,52343,5201,37998,1,4096,0x0010
2020-04-21 16:34:00.979261,192.168.10.184,192.168.10.196,52343,5201,39458,1,4096,0x0010
2020-04-21 16:34:00.979262,192.168.10.184,192.168.10.196,52343,5201,40918,1,4096,0x0010
2020-04-21 16:34:00.979263,192.168.10.184,192.168.10.196,52343,5201,42378,1,4096,0x0010
2020-04-21 16:34:01.101178,192.168.10.196,192.168.10.184,5201,52343,1,43838,53248,0x0010
2020-04-21 16:34:01.101337,192.168.10.184,192.168.10.196,52343,5201,43838,1,4096,0x0010
2020-04-21 16:34:01.101339,192.168.10.184,192.168.10.196,52343,5201,45298,1,4096,0x0010
2020-04-21 16:34:01.101339,192.168.10.184,192.168.10.196,52343,5201,46758,1,4096,0x0010
2020-04-21 16:34:01.101340,192.168.10.184,192.168.10.196,52343,5201,48218,1,4096,0x0010
2020-04-21 16:34:01.101341,192.168.10.184,192.168.10.196,52343,5201,49678,1,4096,0x0010
2020-04-21 16:34:01.101342,192.168.10.184,192.168.10.196,52343,5201,51138,1,4096,0x0010
2020-04-21 16:34:01.101342,192.168.10.184,192.168.10.196,52343,5201,52598,1,4096,0x0010
2020-04-21 16:34:01.101343,192.168.10.184,192.168.10.196,52343,5201,54058,1,4096,0x0010
2020-04-21 16:34:01.101344,192.168.10.184,192.168.10.196,52343,5201,55518,1,4096,0x0010
2020-04-21 16:34:01.101345,192.168.10.184,192.168.10.196,52343,5201,56978,1,4096,0x0010
2020-04-21 16:34:01.101345,192.168.10.184,192.168.10.196,52343,5201,58438,1,4096,0x0010
2020-04-21 16:34:01.101347,192.168.10.184,192.168.10.196,52343,5201,59898,1,4096,0x0010
2020-04-21 16:34:01.101348,192.168.10.184,192.168.10.196,52343,5201,61358,1,4096,0x0010
2020-04-21 16:34:01.101349,192.168.10.184,192.168.10.196,52343,5201,62818,1,4096,0x0010
2020-04-21 16:34:01.223173,192.168.10.196,192.168.10.184,5201,52343,1,64278,53248,0x0010
2020-04-21 16:34:01.223312,192.168.10.184,192.168.10.196,52343,5201,64278,1,4096,0x0010
2020-04-21 16:34:01.223314,192.168.10.184,192.168.10.196,52343,5201,65738,1,4096,0x0010
2020-04-21 16:34:01.223315,192.168.10.184,192.168.10.196,52343,5201,67198,1,4096,0x0010
2020-04-21 16:34:01.223316,192.168.10.184,192.168.10.196,52343,5201,68658,1,4096,0x0010
2020-04-21 16:34:01.223317,192.168.10.184,192.168.10.196,52343,5201,70118,1,4096,0x0010
2020-04-21 16:34:01.223319,192.168.10.184,192.168.10.196,52343,5201,71578,1,4096,0x0010
2020-04-21 16:34:01.223320,192.168.10.184,192.168.10.196,52343,5201,73038,1,4096,0x0010
2020-04-21 16:34:01.223321,192.168.10.184,192.168.10.196,52343,5201,74498,1,4096,0x0010
2020-04-21 16:34:01.223322,192.168.10.184,192.168.10.196,52343,5201,75958,1,4096,0x0010
2020-04-21 16:34:01.223323,192.168.10.184,192.168.10.196,52343,5201,77418,1,4096,0x0010
2020-04-21 16:34:01.223325,192.168.10.184,192.168.10.196,52343,5201,78878,1,4096,0x0010
2020-04-21 16:34:01.223325,192.168.10.184,192.168.10.196,52343,5201,80338,1,4096,0x0010
2020-04-21 16:34:01.223460,192.168.10.184,192.168.10.196,52343,5201,81798,1,4096,0x0010
2020-04-21 16:34:01.223461,192.168.10.184,192.168.10.196,52343,5201,83258,1,4096,0x0010
2020-04-21 16:34:01.223462,192.168.10.184,192.168.10.196,52343,5201,84718,1,4096,0x0010
2020-04-21 16:34:01.223463,192.168.10.184,192.168.10.196,52343,5201,86178,1,4096,0x0010
2020-04-21 16:34:01.345303,192.168.10.196,192.168.10.184,5201,52343,1,67198,53248,0x0010
2020-04-21 16:34:01.345360,192.168.10.184,192.168.10.196,52343,5201,87638,1,4096,0x0010
2020-04-21 16:34:01.345360,192.168.10.184,192.168.10.196,52343,5201,89098,1,4096,0x0010
2020-04-21 16:34:01.345360,192.168.10.184,192.168.10.196,52343,5201,90558,1,4096,0x0010
2020-04-21 16:34:01.345361,192.168.10.184,192.168.10.196,52343,5201,92018,1,4096,0x0010
2020-04-21 16:34:01.346853,192.168.10.196,192.168.10.184,5201,52343,1,80338,53248,0x0010
2020-04-21 16:34:01.346895,192.168.10.184,192.168.10.196,52343,5201,93478,1,4096,0x0010
2020-04-21 16:34:01.346895,192.168.10.184,192.168.10.196,52343,5201,94938,1,4096,0x0010
2020-04-21 16:34:01.346895,192.168.10.184,192.168.10.196,52343,5201,96398,1,4096,0x0010
2020-04-21 16:34:01.346896,192.168.10.184,192.168.10.196,52343,5201,97858,1,4096,0x0010
2020-04-21 16:34:01.346896,192.168.10.184,192.168.10.196,52343,5201,99318,1,4096,0x0010
2020-04-21 16:34:01.346896,192.168.10.184,192.168.10.196,52343,5201,100778,1,4096,0x0010
2020-04-21 16:34:01.346897,192.168.10.184,192.168.10.196,52343,5201,102238,1,4096,0x0010
2020-04-21 16:34:01.346897,192.168.10.184,192.168.10.196,52343,5201,103698,1,4096,0x0010
2020-04-21 16:34:01.346897,192.168.10.184,192.168.10.196,52343,5201,105158,1,4096,0x0010
2020-04-21 16:34:01.346898,192.168.10.184,192.168.10.196,52343,5201,106618,1,4096,0x0010
2020-04-21 16:34:01.346898,192.168.10.184,192.168.10.196,52343,5201,108078,1,4096,0x0010
2020-04-21 16:34:01.347838,192.168.10.196,192.168.10.184,5201,52343,1,86178,53248,0x0010
2020-04-21 16:34:01.347870,192.168.10.184,192.168.10.196,52343,5201,109538,1,4096,0x0010
2020-04-21 16:34:01.347871,192.168.10.184,192.168.10.196,52343,5201,110998,1,4096,0x0010
2020-04-21 16:34:01.347871,192.168.10.184,192.168.10.196,52343,5201,112458,1,4096,0x0010
2020-04-21 16:34:01.347871,192.168.10.184,192.168.10.196,52343,5201,113918,1,4096,0x0010
2020-04-21 16:34:01.347871,192.168.10.184,192.168.10.196,52343,5201,115378,1,4096,0x0010
2020-04-21 16:34:01.347872,192.168.10.184,192.168.10.196,52343,5201,116838,1,4096,0x0010
2020-04-21 16:34:01.349743,192.168.10.196,192.168.10.184,5201,52343,1,87638,53248,0x0010
2020-04-21 16:34:01.349771,192.168.10.184,192.168.10.196,52343,5201,118298,1,4096,0x0010
2020-04-21 16:34:01.349771,192.168.10.184,192.168.10.196,52343,5201,119758,1,4096,0x0010
2020-04-21 16:34:01.459840,192.168.10.196,192.168.10.184,5201,52343,1,93478,53248,0x0010
2020-04-21 16:34:01.459963,192.168.10.184,192.168.10.196,52343,5201,121218,1,4096,0x0010
2020-04-21 16:34:01.459964,192.168.10.184,192.168.10.196,52343,5201,122678,1,4096,0x0010
2020-04-21 16:34:01.459965,192.168.10.184,192.168.10.196,52343,5201,124138,1,4096,0x0010
2020-04-21 16:34:01.459966,192.168.10.184,192.168.10.196,52343,5201,125598,1,4096,0x0010
2020-04-21 16:34:01.459967,192.168.10.184,192.168.10.196,52343,5201,127058,1,4096,0x0010
2020-04-21 16:34:01.459968,192.168.10.184,192.168.10.196,52343,5201,128518,1,4096,0x0010
2020-04-21 16:34:01.461498,192.168.10.196,192.168.10.184,5201,52343,1,109538,53248,0x0010
2020-04-21 16:34:01.461638,192.168.10.184,192.168.10.196,52343,5201,129978,1,4096,0x0010
2020-04-21 16:34:01.461639,192.168.10.184,192.168.10.196,52343,5201,131438,1,4096,0x0010
2020-04-21 16:34:01.461640,192.168.10.184,192.168.10.196,52343,5201,132898,1,4096,0x0010
2020-04-21 16:34:01.461641,192.168.10.184,192.168.10.196,52343,5201,134358,1,4096,0x0010
2020-04-21 16:34:01.461642,192.168.10.184,192.168.10.196,52343,5201,135818,1,4096,0x0010
2020-04-21 16:34:01.461643,192.168.10.184,192.168.10.196,52343,5201,137278,1,4096,0x0010
2020-04-21 16:34:01.461644,192.168.10.184,192.168.10.196,52343,5201,138738,1,4096,0x0010
2020-04-21 16:34:01.461645,192.168.10.184,192.168.10.196,52343,5201,140198,1,4096,0x0010
2020-04-21 16:34:01.461646,192.168.10.184,192.168.10.196,52343,5201,141658,1,4096,0x0010
2020-04-21 16:34:01.461647,192.168.10.184,192.168.10.196,52343,5201,143118,1,4096,0x0010
2020-04-21 16:34:01.461647,192.168.10.184,192.168.10.196,52343,5201,144578,1,4096,0x0010
2020-04-21 16:34:01.461649,192.168.10.184,192.168.10.196,52343,5201,146038,1,4096,0x0010
2020-04-21 16:34:01.461650,192.168.10.184,192.168.10.196,52343,5201,147498,1,4096,0x0010
2020-04-21 16:34:01.462918,192.168.10.196,192.168.10.184,5201,52343,1,118298,53248,0x0010
2020-04-21 16:34:01.463042,192.168.10.184,192.168.10.196,52343,5201,148958,1,4096,0x0010
2020-04-21 16:34:01.463044,192.168.10.184,192.168.10.196,52343,5201,150418,1,4096,0x0010
2020-04-21 16:34:01.463045,192.168.10.184,192.168.10.196,52343,5201,151878,1,4096,0x0010
2020-04-21 16:34:01.463046,192.168.10.184,192.168.10.196,52343,5201,153338,1,4096,0x0010
2020-04-21 16:34:01.463047,192.168.10.184,192.168.10.196,52343,5201,154798,1,4096,0x0010
2020-04-21 16:34:01.463047,192.168.10.184,192.168.10.196,52343,5201,156258,1,4096,0x0010
2020-04-21 16:34:01.463048,192.168.10.184,192.168.10.196,52343,5201,157718,1,4096,0x0010
2020-04-21 16:34:01.463049,192.168.10.184,192.168.10.196,52343,5201,159178,1,4096,0x0010
2020-04-21 16:34:01.463561,192.168.10.196,192.168.10.184,5201,52343,1,121218,53248,0x0010
2020-04-21 16:34:01.463672,192.168.10.184,192.168.10.196,52343,5201,160638,1,4096,0x0010
2020-04-21 16:34:01.463674,192.168.10.184,192.168.10.196,52343,5201,162098,1,4096,0x0010
2020-04-21 16:34:01.463675,192.168.10.184,192.168.10.196,52343,5201,163558,1,4096,0x0010
2020-04-21 16:34:01.463676,192.168.10.184,192.168.10.196,52343,5201,165018,1,4096,0x0010
2020-04-21 16:34:01.585929,192.168.10.196,192.168.10.184,5201,52343,1,129978,53248,0x0010
2020-04-21 16:34:01.586060,192.168.10.184,192.168.10.196,52343,5201,166478,1,4096,0x0010
2020-04-21 16:34:01.586061,192.168.10.184,192.168.10.196,52343,5201,167938,1,4096,0x0010
2020-04-21 16:34:01.586061,192.168.10.184,192.168.10.196,52343,5201,169398,1,4096,0x0010
2020-04-21 16:34:01.586062,192.168.10.184,192.168.10.196,52343,5201,170858,1,4096,0x0010
2020-04-21 16:34:01.586063,192.168.10.184,192.168.10.196,52343,5201,172318,1,4096,0x0010
2020-04-21 16:34:01.586063,192.168.10.184,192.168.10.196,52343,5201,173778,1,4096,0x0010
2020-04-21 16:34:01.586064,192.168.10.184,192.168.10.196,52343,5201,175238,1,4096,0x0010
2020-04-21 16:34:01.586065,192.168.10.184,192.168.10.196,52343,5201,176698,1,4096,0x0010
2020-04-21 16:34:01.587381,192.168.10.196,192.168.10.184,5201,52343,1,147498,53248,0x0010
2020-04-21 16:34:01.587526,192.168.10.184,192.168.10.196,52343,5201,178158,1,4096,0x0010
2020-04-21 16:34:01.587527,192.168.10.184,192.168.10.196,52343,5201,179618,1,4096,0x0010
2020-04-21 16:34:01.587528,192.168.10.184,192.168.10.196,52343,5201,181078,1,4096,0x0010
2020-04-21 16:34:01.587529,192.168.10.184,192.168.10.196,52343,5201,182538,1,4096,0x0010
2020-04-21 16:34:01.587529,192.168.10.184,192.168.10.196,52343,5201,183998,1,4096,0x0010
2020-04-21 16:34:01.587530,192.168.10.184,192.168.10.196,52343,5201,185458,1,4096,0x0010
2020-04-21 16:34:01.587531,192.168.10.184,192.168.10.196,52343,5201,186918,1,4096,0x0010
2020-04-21 16:34:01.587531,192.168.10.184,192.168.10.196,52343,5201,188378,1,4096,0x0010
2020-04-21 16:34:01.587532,192.168.10.184,192.168.10.196,52343,5201,189838,1,4096,0x0010
2020-04-21 16:34:01.587533,192.168.10.184,192.168.10.196,52343,5201,191298,1,4096,0x0010
2020-04-21 16:34:01.587533,192.168.10.184,192.168.10.196,52343,5201,192758,1,4096,0x0010
2020-04-21 16:34:01.587534,192.168.10.184,192.168.10.196,52343,5201,194218,1,4096,0x0010
2020-04-21 16:34:01.587535,192.168.10.184,192.168.10.196,52343,5201,195678,1,4096,0x0010
2020-04-21 16:34:01.587535,192.168.10.184,192.168.10.196,52343,5201,197138,1,4096,0x0010
2020-04-21 16:34:01.587650,192.168.10.196,192.168.10.184,5201,52343,1,160638,53248,0x0010
2020-04-21 16:34:01.587750,192.168.10.184,192.168.10.196,52343,5201,198598,1,4096,0x0010
2020-04-21 16:34:01.587752,192.168.10.184,192.168.10.196,52343,5201,200058,1,4096,0x0010
2020-04-21 16:34:01.587753,192.168.10.184,192.168.10.196,52343,5201,201518,1,4096,0x0010
2020-04-21 16:34:01.587754,192.168.10.184,192.168.10.196,52343,5201,202978,1,4096,0x0010
